Question,Answer
"# State:

Purpose of Health and Safety at Work Act",Provide guidance to employers and employees when working with computer systems and define actions employers should take to protect employees
"# Fill The Blank:

Almost everyone has a ............. under the Health and Safety Act at Work to work and act safely",Duty
"# Fill The Blank:

Employees must take reasonable ........... of their own and ........... safety under the Health and Safety at Work Act.","Care, Others"
"# State:

What the Health and Safety at Work act makes illegal",Act recklessly or intentionally act in such a way to endanger yourself or others
"# State:

What the DSE regulations requires business/schools/colleges to do (four things)

| Display Screen Regulations","* Analyse Workstations and assess and reduce risks
* Plan work so that there are breaks or changes of activity
* Arrange and pay for eye tests and glasses (if needed)
* Provide health and safety information and training"
"# Fill The Blank:

Employers need to check that the computer equipment and .......... is ......... and any risks that are found have actions taken to fix them.

| DSE - Analyse workstations and assess and reduce risks","Area, Safe"
"# State:

What do employers and employees working from home have to complete

| DSE - Analyse workstations and assess and reduce risks",DSE workstation assessment
"# State:

3 examples of correct and safe arrangment of a workstation (related to posture/equipment positioning etc.)

| DSE - Analyse workstations and assess and reduce risks","3 of:
* Forearms are close to horizontal and hands in a straight line
* Space in front of keyboard, keyboard titlts, mouse in suitable position
* Chair is adjustable inlcuding the height and backrest
* Thighs are horizontal
* Five point chair base for stability
* Screen can be moved into position, at or slightly below eye level
* Screen is placed where there is no glare or reflection
* Clearance under the desk for legs to not touch desk
* Space under desk
* Feet flat on the floor, or on footrest"
"# State:

3 minimum requirements for employers to ensure workstations comply to

| DSE - Analyse workstations and assess and reduce risks","* Adjustable chairs and suitable lighting
* Tilt and swivel monitors
* Ensuring that the workstation has sufficient space for keyboard, monitor and any paperwork"
"# Fill The Blank:

Employees should not be expected to work at a DSE ..... ........ and regular ................ or change in activity should be provided by an employer

| DSE - Analyse workstations and assess and reduce risks","All day, Breaks"
"# State:

3 examples of what staring at working with DSE (Dispaly Screen Equipment) can lead to over a long period of time

| DSE - Arrange and pay for eye tests and glasses (if special ones are nee","3 of:
* Tired eyes
* Discomfort
* Temporary short-sightedness
* Headaches"
"# State:

2 examples of responsibilities that lie with an employee

| DSE","2 of:
* Check screen is well positioned and properly adjusted
* Make sure lighting conditions are suitable
* Take regular breaks from screen work"
"# Fill The Blank:

Employees of a business who work with DSE can ask for an employer to pay for ...... appointments and to ................ them

| DSE","Eye, Arrange"
"# Fill The Blank

Employers must provide ............. to make sure that employees know how to use ..................... correctly

| DSE - Provide Health and Safety Training Information","Training, Equipment"
"# State:

3 things that every general working environment should have/be

| General Working Environment","* Have appropriate facilities (toilets, washbasins, drinking water, place to rest/eat)
* Healthy working environment
* Be a safe workplace"
"# State:

3 examples of making a healthy working environment from HSE

| General Working Environment","3 of:
* Good ventilation
* Reasonable working temperature
* Lighting suitable for the work being carried out
* Enough room space, suitable for the work being carried out
* Enough room space for suitable workspaces and seating
* Appropriate waste containers"
"# State:

2 examples of making a safe workplace from HSE

| General Working Environment","2 of:
* Maintained buildings and work equipment
* Floors and traffic routes kept free of obstructions
* Windows that can be opened and cleaned safely
* Any glass or transparent doors or walls protected or made of safety material"
"# Define:

HSE

| General Working Environment",Health and Safety Executive
"# State:

2 examples of areas a health and safety policy must cover

| General Working Environment","2 of:
* Statement of intent
* Responsibilities for health and safety
* Arrangements for health and safety"
"# Fill The Blank:

Any employee is responsible for reporting .................... as soon as possible to rectify the issue. If an issue is identified an employer may use a ................ ........... to tell other employees of the issue

| Possible risks and prevention","Accidents, Warning sign"

Question,Answer
"# State:

What DPA and GDPR aim to do","Control how personal data and information is used by organisations, businesses and the UK Government as well as empower individuals to take control over their personal data"
"# Explain:

What DPA means in comparison to GDPR",DPA is the UK's implementation of the EU's General Data Protection Regulation after the UK left the EU
"# State:

4 purposes of the DPA 2018

| The principles of the act","4 of:
* Used fairly, lawfully and transparently
* Used for specified, explicit purposes
* Used in a way that is adequate, relevant and limited to only what is necessary
* Accurate and, where necessary, kept up to date
* Kept for no longer than necessary
* Kept appropriately secure"
"# State:

4 purposes of the GDPR

| The principles of the act","4 of:
* Lawfullness, fairness, trainsparency
* Purpose limitation
* Data minimisation
* Accuracy
* Storage limitation
* Integrity and confidentiality"
"# State:

3 examples of characteristics DPA provides legal protection of

| The principles of the act","3 of:
* Race
* Ethnic background
* Political opinions
* Religious beliefs
* Trade union membership
* Genetics
* Biometrics
* Health
* Sex life or orientation"
"# Fill The Blank:

Under DPA a data subject (User) has ......... such as beign able to find out what ........... is being held about them

| Data subject rights","Rights, Data"
"# State:

4 rights a data subject (user) has under DPA","3 of:
* Be informed about how the data is being used
* Access personal data
* Have incorrect data updated
* Have data erased
* Stop or restrict the processing of the data
* Data portability
* Object to how the data is processed in certain circumstances
* Automated decision making processes
* Profiling"
"# Fill The Blank:

DPA and GDPR both require ............... for a marketing .................. to be sent

| Marketing Consent","Consent, Message"
"# Fill The Blank:

Consent must be ............ and ............. given, clear and specific.

| Marketing Consent","Knowingly, Freely"
"# Fill The Blank:

Giving consent for marketing material must be ............. and therefore must be an .......-.... method and not in ......... and ................... because these are hard to understand and rarely read

| Marketing Consent","Clear, Opt-in, Terms and Conditions"
"# Fill The Blank:

It must be made easy to opt-out of marketing material such as '...............' at the bottom of an email because consent can be ................ at any time

| Marketing Consent","Unsubscribe, Withdrawn"
"# Fill The Blank:

GDPR makes it clear that pre-.............. boxes are not valid ...............

| Marketing Consent","Ticked, Consent"
