Question,Answer
"# State:

Purpose of Batch OSs",Collects programs and data together in a batch before processing
"# State:

3 functions/features of a batch OS","3 of:
* Processes batches of data at regular intervals
* No user interaction required
* Batch processing carried out when least demand for processing power
* Can be set up to run at specific times
* Batches processed on a first-come-first-served basis"
"# State:

Purpose of Multi-tasking/Time-sharing OSs",Enables the use of a single computing resource for multiple uses at the same time
"# State:

3 functions/features of a multi-tasking/time-sharing OSs","3 of:
* Involves processor carrying out multiple tasks at a time
* Programs being used are eitehr waiting, runnable or running
* OS schedules the processes to be exectured by the CPU
* As the OS facilitates multi-tasking, several aplications can be stored in the RAM at same time complex to setup"
"# State:

Purpose of Real-time operating systems (RTOS)","Swtiches between tasks rapidly giving the impression that programs are being executed at the same time, Aids the management of different hardware resources and hosts the applications that run"
"# State:

3 purposes of real-time operating systems (RTOS)","3 of:
* Typically used for embedded applications
* Data is processed as soon as it is received by the processor
* It is high performance - fast response time and based on user requirements
* Priority scheduling
* Higher security and reliability standards
* It will always produce the same output if the same input is used - known as determinism"
"# State:

Purpose of network operating systems (NOS)","Runs on a server and provides capability to manage users, groups and security applications and data and other networking functions. Facilitates sharefile and printer access across multiple users"
"# State:

3 functions/features of network operating systems (NOS)","3 of:
* Centralised servers are stable
* Security of the network is managed by the server
* Facilitates remote access to the servers from different locations and types of systems
* Upgrades using new technologies and hardware are easily integrated into the system
* Purchase and running costs are high
* There is a dependency on a central location
* Regular updates and maintenance are required"
"# State:

Purpose of mobile OSs",Software platform to run mobile devices. Responsible for determining its functions and features of the device. Determines which third-party apps can run on the device
"# State:

3 types of mobile OSs","* Android OS - Google's open and free software stack that includes an OS, middleware and key applications
* iPhone OS/Apple IOS - only available on devices manufactured by apple -derived from Mac OS
* Windows Mobile - Microsoft OS used in smartphones and mobile devices with or without touchscreens - based on windows CE 5.2 kernel"
"# State:

Software that is used to help manage, control and maintain the computer system and associated resources",Utility Software
"# State:

2 examples of utility software, that are not built-in to OSs","2 of:
* Anti-virus
* Anti-malware
* Registry cleaners"
"# Define:

Application software","Specific programs that are installed onto a computer system or made available via the cloud, for end-users to perform a range of tasks"
"# State:

2 examples of application software","2 of:
* Graphics software
* CAD software
* Office suite; Microsoft 365
* Browser software; Google chrome, Firefox"
"# Define:

Code Development Tools","Tools used by programmers when developing software, enabling them to create, maintain and debug the software they are developing"
"# Explain:

Integrated Development Environments (IDEs)","Access tools within one central interface, include, at minimum, a source code editor, compiler and debugger and sometimes other tools; class and object browsers and class heirarchy diagrams"
"# State:

3 examples of tools used by developers (other than an IDE)","3 of:
* Source code editor
* Compiler
* Debugger
* Assembler
* Linker"

Question,Answer
"# Fill The Blank:

Not all .................... which make up a digital system are suitable for all .........................., their environments or the industry sector that they are in","Components, Businesses"
"# Fill The Blank:

When using a component (software, hardware, .....................) it is important to consider the ...................... and ........................ of the component to make sure it is ....................... and will produce the benefits that the business requires.","Peripherals, Benefits, Drawbacks, Appropriate/Required"
"# Define:

Feature of a component (software, hardware, peripheral)","Something that a digital system, hardware/software component or peripheral has associated with its functionality"
"# Define:

Benefit of a component (software, hardware, peripheral)","Outcome/result from using the digital system, component or peripheral"
